IMI;TAXAS_MULTAS_OUTROS_IMPOSTOS;FINANCIAMENTO_UNIAO_EUROPEIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;DSC_AUTARQUIA;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
52819.72;180822.06;23569.18;946226.6;32129.82;1749021;T1_1505;670176;T1;1505;GRÂNDOLA;400009.18;10279;3345738.86;226912.9
100886.82;133535.43;1306988.73;675110.1;151942.63;3547476;T1_0907;251300.3;T1;0907;GUARDA;849641.03;37444.92;7214242.37;835026.51
398327.2;805629.57;581346.71;3387017.01;521555.3;6412863;T1_0308;1349775.05;T1;0308;GUIMARÃES;1954908.21;311729.89;14690899.79;2354764.86
11090.57;76011.87;12279.52;139020.36;14936.04;1389715;T1_4701;36981.88;T1;4701;HORTA;331441.91;0;1876601.85;4145.06
14143.43;19749.27;31514.23;123150.03;20915.12;3077055;T1_0505;68342.21;T1;0505;IDANHA-A-NOVA;452655.92;0;3746937;62561.82
87717.61;133962.97;319062.67;776362.35;179707.99;1481436;T1_0110;306089.48;T1;0110;ÍLHAVO;1556299.22;68884.3;4784075.39;650915.15
119122.86;247011.66;5673.2;1482731.49;140722.59;1087269;T1_0806;975874.38;T1;0806;LAGOA (ALGARVE);1134392.05;0;4139346.37;429280.63
15182.09;36732.91;888139.14;244527.07;34428.64;1147110;T1_4201;153492.59;T1;4201;LAGOA (SÃO MIGUEL);415737.33;4690.84;2719771.47;24257.93
146918.14;139989.03;303208.62;2041852.45;152363.2;974226;T1_0807;1602582.08;T1;0807;LAGOS;2714492.52;0;7708131.7;1674352.11
0;1076.14;0;1076.14;0;743479;T1_4801;0;T1;4801;LAJES DAS FLORES;63126.07;0;1078706.02;271024.81
4198.19;4441.51;28406.12;34465.71;11371.04;1014759;T1_4601;14454.97;T1;4601;LAJES DO PICO;91756.19;0;1171408.4;2021.38
51418.75;103069.81;0;447916.59;89305.62;2133990;T1_1805;159470.38;T1;1805;LAMEGO;1045051.94;44652.03;4194184.78;567226.25
212872.61;813528.57;81453.39;2576532.47;337809.09;4605210;T1_1009;1049945.7;T1;1009;LEIRIA;989501.49;162376.5;9323775.09;1071077.74
1761757.57;11023498.36;106140.44;53935633.34;3052055.1;16427184;T1_1106;32110847.96;T1;1106;LISBOA;24531307.48;5987474.35;99854655.34;4854390.08
842013.52;1158297.53;199348.35;9793153.68;398703.99;2499339;T1_0808;7394138.64;T1;0808;LOULÉ;2826836.68;0;18706824.61;3388146.9
660556.97;1544391.28;0;9083372.76;724645.74;5404068;T1_1107;3565878.58;T1;1107;LOURES;1417930.09;2587900.19;20565550.37;4660179.52
116767.72;131425.76;0;697037.84;93411.58;1212108;T1_1108;355432.78;T1;1108;LOURINHÃ;1613269.84;0;4892858.27;1370442.59
26172.12;110168.66;0;281438.99;56213.94;1191069;T1_0607;79083.08;T1;0607;LOUSÃ;415493.42;9801.19;2842962.47;954961.06
55857.82;291953.48;646915.6;674275.68;137070.74;2489190;T1_1305;189393.64;T1;1305;LOUSADA;1141303.31;0;6379664.13;1427979.54
12844.63;8383.05;69325.4;61091.5;17662.72;1631564;T1_1413;22201.1;T1;1413;MAÇÃO;389824.58;0;2204987.23;53181.75
30631.05;194543.3;547340.04;392859.11;40567.96;2518965;T1_0405;127116.8;T1;0405;MACEDO DE CAVALEIROS;546294.91;0;5564629.28;1559170.22
45964;98059.53;66831.41;274125.49;66113.23;1514580;T1_3104;63988.73;T1;3104;MACHICO;519991.71;0;2506340.89;130812.28
12283.96;10055.19;252762.19;98425.32;19170.42;1075155;T1_4602;56915.75;T1;4602;MADALENA;130078.55;0;1556452.82;31.76
216562.47;1241106.68;54387.54;3488878.11;301110.73;1889118;T1_1109;1659180.98;T1;1109;MAFRA;1660319.38;70917.25;8391694.14;1298991.11
289472.58;1049857;799040.38;3315825.1;513818.74;3210564;T1_1306;1408562.19;T1;1306;MAIA;2310192.57;54114.59;10674807.98;1039185.93
11804.98;204554.69;19109.17;371221.19;68653.66;1839936;T1_1806;73547.24;T1;1806;MANGUALDE;724174.37;12660.62;3185603.1;231162.37
4938.7;6608.07;169751.21;20525.57;6591.53;967740;T1_0908;2387.27;T1;0908;MANTEIGAS;179686.05;0;1356663.52;18960.69
50550.3;244872.2;9238.34;686998.15;175441.15;3334602;T1_1307;179052.68;T1;1307;MARCO DE CANAVESES;423006.48;37081.82;4923095;469250.03
64299.44;80463.13;13505.62;895034.82;156938.04;1481531;T1_1010;593334.21;T1;1010;MARINHA GRANDE;983098.32;0;3529779.65;156609.89
3658.3;3495.88;0;29919.27;9280.01;914529;T1_1210;12822.94;T1;1210;MARVÃO;111697.37;662.14;1111971.35;55825.71
