DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
262403.94;148.76;POVOAÇÃO;134805.24;28427.41;T2_4204;3048266.46;55818.12;1034100.31;T2;140636.75;1737674.64;4204;680201.59;385352.27;326372.07;630390.23
602800.11;16800;PRAIA DA VITÓRIA;0;432570.58;T2_4302;5664603.95;50992.51;1726494.49;T2;0;3232771.11;4302;1746424.51;852484;236037.75;685408.33
1488070.75;38418.69;PROENÇA-A-NOVA;0;132854.12;T2_0508;4515832.87;7221.3;1381082.7;T2;37790.26;3563236.25;0508;245172.16;686861.5;498361.39;707424.46
1121791.72;1222.7;REDONDO;34127.36;483394.23;T2_0710;4026713.85;0;1921236.62;T2;71708.82;3341994.09;0710;25976.66;298965.75;68289.99;658743.1
1600970.43;0;REGUENGOS DE MONSARAZ;22090.95;60085.76;T2_0711;6157013.93;143553.66;2247256.83;T2;72523.4;4605751.7;0711;1167757.72;613970.78;228804.4;383504.51
1404236.32;0;RESENDE;34519.12;40550.51;T2_1813;5110805.83;48635.97;2230599.55;T2;443047.43;3960042.9;1813;382577.28;276571.06;250068.59;768185.65
557811.42;7926.22;RIBEIRA BRAVA;0;536436.2;T2_3107;3904812.92;696357.45;874441.55;T2;0;2413974.84;3107;765234.03;285364.42;181241.63;725604.05
1197903.08;0;RIBEIRA DE PENA;173650.28;77536.11;T2_1709;5267485.46;55346.28;1779910.01;T2;273525.74;4097536.92;1709;364714.77;1064377.55;280521.64;805233.77
2133317.21;25602.76;RIBEIRA GRANDE;336738.75;1171912.22;T2_4205;9400201.28;64953.86;2532309.25;T2;176149.76;5043729.47;4205;1450163.55;313149.15;1195904.77;2906308.26
3390301.04;15960.89;RIO MAIOR;84860.09;255507.03;T2_1414;8799723.22;87970.88;2663380.31;T2;50092.91;6792336.85;1414;1446312.46;650684.62;154652.99;561073.91
1183045.65;8649.6;SABROSA;28805.36;75963.81;T2_1710;3507048.08;8972.41;1308227.63;T2;47110.07;2791896.74;1710;379252.92;291651.05;175369.58;335898.42
1670542.55;1833.35;SABUGAL;181901.93;448461.77;T2_0911;6486995.98;13143.23;1944194.68;T2;113444.7;5087952.26;0911;378505.6;1460071.8;274896.37;1020538.12
1656396.09;0;SALVATERRA DE MAGOS;0;20023.49;T2_1415;4688535.85;20780.61;2051329.9;T2;7328.18;4330366.63;1415;164164.67;601860.03;166652.88;194004.55
1903723.62;2423.82;SANTA COMBA DÃO;166837.7;400991.53;T2_1814;6863852.81;310896.94;1272307.11;T2;508101.07;3634827.4;1814;1903242.8;147899.73;247428.49;1325782.61
1841262.16;0;SANTA CRUZ;462812.77;1039922.84;T2_3108;10843096.62;1774366.6;3457323.98;T2;211589.7;7272422.08;3108;1805086.62;199469.34;51262.61;1765587.92
399844.49;185749.79;SANTA CRUZ DA GRACIOSA;15347.51;49126.71;T2_4401;1853515.71;18329.22;565661.94;T2;58505.64;1303878.9;4401;135031.4;320043.25;105875.76;414605.41
226803.06;37730.53;SANTA CRUZ DAS FLORES;1801.47;66167.14;T2_4802;1121281.98;2712.48;508945.67;T2;31200.7;829360.61;4802;127632.77;90899.4;27388.76;164288.6
7319484.05;175999.02;SANTA MARIA DA FEIRA;748168.33;547992.22;T2_0109;24318302.33;315648.05;7150016.54;T2;1192514.62;17202383.59;0109;3195949.48;2417234.95;1255295.07;3919969.26
1203369.56;195775.83;SANTA MARTA DE PENAGUIÃO;17280.35;73845.57;T2_1711;4910504.05;13437.11;1021189.86;T2;1557703.15;2510813.33;1711;306490.15;272816.8;248595.67;2093200.57
540204.54;0;SANTANA;0;0;T2_3109;2070561.56;26963.32;772985.74;T2;0;1558719.43;3109;500252.13;218565.83;11590;11590
4099228.9;0;SANTARÉM;6599.34;193991.01;T2_1416;17766563.92;1205035.85;7153858.96;T2;1204211.75;13730453.71;1416;2309395.43;1272330;321912.68;1726714.78
3428154.73;8637.5;SANTIAGO DO CACÉM;96992.11;267809.96;T2_1509;11091990.76;103288.65;4969392.57;T2;77626.48;9364612.58;1509;870664.91;863776.63;405647.22;856713.27
4754205.82;3100;SANTO TIRSO;23717.8;848256.67;T2_1314;18343340.9;123241.09;4297289.51;T2;613934.77;10386469.53;1314;2503001.72;1211733.11;3964860.41;5453869.65
1606259.77;0;SÃO BRÁS DE ALPORTEL;548.29;475949.85;T2_0812;5038444.7;8450.48;2023563.47;T2;32222.34;3936323.98;0812;228299.59;298050.26;365100.65;873821.13
2698457.13;488817.4;SÃO JOÃO DA MADEIRA;14844.14;24071.41;T2_0116;7718749.84;45694.76;2370981.51;T2;143693.47;5920649;0116;982561.71;805515.6;144112.71;815539.13
2035970.68;0;SÃO JOÃO DA PESQUEIRA;3450.15;291775.62;T2_1815;4751328.06;18614.82;822858.13;T2;15720.56;3104513.46;1815;663529.7;227069.83;672338.57;983284.9
2164187.24;213630.67;SÃO PEDRO DO SUL;46472.37;259671.79;T2_1816;7570717.55;111224.3;3261844.89;T2;23776.24;5829534.48;1816;545815.84;292278.05;651816.16;1195367.23
390916.13;500;SÃO ROQUE DO PICO;20302.59;24368.8;T2_4603;1701969.59;6547.07;500234.71;T2;8118.4;1258319.75;4603;368330.06;360621.84;22029.99;75319.78
776850.35;0;SÃO VICENTE;139873.43;846875.23;T2_3110;3257626.87;13377.08;641946.34;T2;29703.85;1683348.04;3110;330405.88;251174.27;227420.44;1243872.95
831362.28;207.76;SARDOAL;0;1588.2;T2_1417;3003923.33;26689.72;1407335.85;T2;44114.25;2499224.93;1417;325435.11;233837.08;133353.08;179263.29
1110094.22;0;SÁTÃO;305622.79;708735.54;T2_1817;5313528.47;3702.49;1520635.57;T2;111542.54;2831856.69;1817;326731.01;197424.41;1029039.9;2154940.77
4067732.73;5594.66;SEIA;84989.19;71414.68;T2_0912;9917236.08;1076633.73;2576674.65;T2;45101.11;8353773.82;0912;1281028.44;632732.71;75334.18;282433.82
7846331.02;4040;SEIXAL;32128.96;161927.99;T2_1510;32508132.08;1570210.01;16239500.98;T2;21921.35;26159961.78;1510;5878474.89;503919.77;249677.11;469695.41
1566462.25;133864.5;SERNANCELHE;71538.91;610483.85;T2_1818;4355949.79;6388.77;943051.49;T2;313645.2;2649856.92;1818;200909.5;133954.41;375650.91;1505183.37
2089147.95;79581.25;SERPA;50778.58;154001.95;T2_0213;7743193.3;57223.95;2858000.58;T2;730701.84;5607774.16;0213;641996.77;603401.68;478358.75;1493422.37
1735796.52;35000;SERTÃ;521132.24;204218.57;T2_0509;5410056.6;41185.39;1908495.67;T2;8036.82;4190783.85;0509;297777.88;505306.27;153107.24;921494.87
5327330.23;177402.23;SESIMBRA;399244.55;227120.29;T2_1511;19231880.48;479146.9;8686515.83;T2;352506.06;15847886.1;1511;1400875.34;1354893.14;826845.91;1983119.04
7511762.24;96366.82;SETÚBAL;743365.7;923160.01;T2_1512;29075541.21;437913.7;12656103.63;T2;719157.83;23357672.6;1512;2270971.07;2751893.03;964847.18;3446897.54
912100.67;67047.66;SEVER DO VOUGA;98760.73;172456.52;T2_0117;3456671.9;23897.21;991905.8;T2;164591.41;2354959.38;0117;319990;427055.7;278866.2;781722.52
4691926.74;11734.57;SILVES;415226.66;142161.01;T2_0813;13488955.74;81750.44;5811050.93;T2;88778.04;11404055.18;0813;994426.27;819327.07;432574.01;1090474.29
2541355.43;0;SINES;4499.57;701775.14;T2_1513;9475790.95;92237.1;4000013.95;T2;10844.92;7488469.59;1513;808420.79;854863.11;461780.94;1178900.57
18158526.65;260599.01;SINTRA;0;890432.9;T2_1111;84489953.2;592783.68;24520512.94;T2;97902.37;50937230.51;1111;31828970.84;7665407.24;474817.57;1723751.85
1381910.34;0;SOBRAL DE MONTE AGRAÇO;1617.86;0;T2_1112;4009096.04;106156.18;1475802.3;T2;405747.64;3207469.43;1112;260751.55;243600.61;133509.56;540875.06
1721137.05;23200;SOURE;228283.51;174525.88;T2_0615;5976559.55;80990.02;2244060.46;T2;14663.41;4488420.43;0615;731086.77;442232.9;316379.55;757052.35
751931.17;42879.79;SOUSEL;26818.81;1550.36;T2_1215;3354990.85;31875.86;1285196.33;T2;252571.66;2486453.63;1215;280833.83;417450.27;263882.77;587703.39
1320488.93;7260;TÁBUA;30185.86;99632.71;T2_0616;5062473.37;97171.35;1664002.16;T2;12387.96;3695167;0616;435549.34;613504.56;782290.5;931757.03
1333526.93;0;TABUAÇO;19954.84;131085.54;T2_1819;3910765.28;69290.11;1057181.34;T2;268929.99;2599954.44;1819;604947.73;139956.06;285892.74;705863.11
914881.05;560.71;TAROUCA;20959.78;89594.34;T2_1820;4732309.82;103077.92;2133828.98;T2;115358.76;3362894.25;1820;749578.43;211106.3;393363.55;619837.14
2137061.28;10474.73;TAVIRA;5474.98;353301.4;T2_0814;10686726.12;65262.64;4521427.48;T2;101642.91;8476673.09;0814;1316159.03;1752921.69;422999.98;893894
1302227.6;0;TERRAS DE BOURO;81896.55;161258.54;T2_0310;4772894.44;11126.18;2001630.88;T2;135035.22;3903435.33;0310;439876.29;588450.67;51392.51;429582.82
2964697.29;0;TOMAR;0;288504.94;T2_1418;12095411.32;84338.44;4719421.86;T2;209317.45;8350019.5;1418;1441313.26;581561.91;1806256.17;2304078.56
3001522.91;270850;TONDELA;70791.12;1066714.78;T2_1821;10572642.4;5286.09;2434024.77;T2;189147.76;6701697.32;1821;937785.59;1260863.55;1335655.83;2933159.49
1654178.94;0;TORRE DE MONCORVO;52900.45;192996.49;T2_0409;6296863.7;183796.28;1474373.41;T2;374852.53;3670210.55;0409;1296347.74;357861.92;709555.94;1330305.41
2869748.87;5000;TORRES NOVAS;1740.67;85825.05;T2_1419;10330960.85;316121.06;3910234.53;T2;1019943.76;7335454.25;1419;1558639.45;239349.79;324357.67;1436867.15
5743974.25;420013.33;TORRES VEDRAS;2035.84;57515.01;T2_1113;26133978.78;133675.58;6489435.73;T2;1589860.61;16983863.03;1113;1767146.58;4616777.47;5313544.38;7382969.17
1032262.23;149999.99;TRANCOSO;805.91;21295.28;T2_0913;4118533.16;137135.04;1399714.4;T2;4579.67;3058931.44;0913;566015.3;489819.77;316905.57;493586.42
1776869.94;126494.97;TROFA;802833.48;493956.71;T2_1318;9918611.7;563137.01;2947289.48;T2;570498.85;6221861.21;1318;1285049.68;934564.78;417916.8;2411700.81
2117311.46;5000;VAGOS;3035.45;92516.47;T2_0118;7280083.9;220615.6;1826639.29;T2;74528.48;4884591.03;0118;882308.39;720024.68;1338104.08;1513184.48
1719430.77;155462.81;VALE DE CAMBRA;60664.94;183004.67;T2_0119;7045685.9;60234.14;2074753.61;T2;84277.41;4764726.09;0119;1352989;910307.57;444560.98;927970.81
